index	name	color
1	ctx-rh-lateralorbitofrontal_1	#3d2d86
2	ctx-rh-lateralorbitofrontal_2	#66731d
3	ctx-rh-lateralorbitofrontal_3	#7b60d5
4	ctx-rh-lateralorbitofrontal_4	#dcb4b3
5	ctx-rh-parsorbitalis_1	#52e5dd
6	ctx-rh-frontalpole_1	#c0da42
7	ctx-rh-medialorbitofrontal_1	#133c36
8	ctx-rh-medialorbitofrontal_2	#411d66
9	ctx-rh-medialorbitofrontal_3	#988303
10	ctx-rh-parstriangularis_1	#154760
11	ctx-rh-parstriangularis_2	#4157dc
12	ctx-rh-parsopercularis_1	#4b4b2f
13	ctx-rh-parsopercularis_2	#3f3605
14	ctx-rh-rostralmiddlefrontal_1	#6ec9a4
15	ctx-rh-rostralmiddlefrontal_2	#785ef7
16	ctx-rh-rostralmiddlefrontal_3	#667f09
17	ctx-rh-rostralmiddlefrontal_4	#f3a09b
18	ctx-rh-rostralmiddlefrontal_5	#5d71ab
19	ctx-rh-rostralmiddlefrontal_6	#9d2e2e
20	ctx-rh-superiorfrontal_1	#3d265b
21	ctx-rh-superiorfrontal_2	#926dd8
22	ctx-rh-superiorfrontal_3	#72c3f2
23	ctx-rh-superiorfrontal_4	#468cfe
24	ctx-rh-superiorfrontal_5	#3afb33
25	ctx-rh-superiorfrontal_6	#4c8201
26	ctx-rh-superiorfrontal_7	#a842ec
27	ctx-rh-superiorfrontal_8	#29eb3a
28	ctx-rh-caudalmiddlefrontal_12	#31ebd8
30	ctx-rh-caudalmiddlefrontal_3	#aeb993
31	ctx-rh-precentral_1	#75b5be
32	ctx-rh-precentral_2	#2f523f
33	ctx-rh-precentral_3	#a56eaf
34	ctx-rh-precentral_4	#244b6b
35	ctx-rh-precentral_5	#50933c
36	ctx-rh-precentral_6	#9a8ea9
37	ctx-rh-paracentral_1	#b24642
38	ctx-rh-paracentral_2	#30b3be
39	ctx-rh-paracentral_3	#3258d9
40	ctx-rh-rostralanteriorcingulate_1	#dac8e5
41	ctx-rh-caudalanteriorcingulate_1	#2463aa
42	ctx-rh-posteriorcingulate_1	#b78295
43	ctx-rh-posteriorcingulate_2	#8a9153
44	ctx-rh-isthmuscingulate_1	#53d94b
45	ctx-rh-postcentral_1	#6ac67c
46	ctx-rh-postcentral_2	#3ceeb2
47	ctx-rh-postcentral_3	#7c0db5
48	ctx-rh-postcentral_4	#8ca645
49	ctx-rh-postcentral_5	#e02cff
50	ctx-rh-supramarginal_1	#9312e0
51	ctx-rh-supramarginal_2	#f4122c
52	ctx-rh-supramarginal_3	#ee3cf1
53	ctx-rh-supramarginal_4	#032814
54	ctx-rh-superiorparietal_1	#296502
55	ctx-rh-superiorparietal_2	#297022
56	ctx-rh-superiorparietal_3	#2b2ea5
57	ctx-rh-superiorparietal_4	#65f525
58	ctx-rh-superiorparietal_5	#eab5a9
59	ctx-rh-superiorparietal_6	#e70702
60	ctx-rh-superiorparietal_7	#30d518
61	ctx-rh-inferiorparietal_1	#c909da
62	ctx-rh-inferiorparietal_2	#cbb56b
63	ctx-rh-inferiorparietal_3	#bfbaa8
64	ctx-rh-inferiorparietal_4	#60b5b8
65	ctx-rh-inferiorparietal_5	#a3e74e
66	ctx-rh-inferiorparietal_6	#ac6358
67	ctx-rh-precuneus_1	#2bf9a1
68	ctx-rh-precuneus_2	#603079
69	ctx-rh-precuneus_3	#31a1af
70	ctx-rh-precuneus_4	#c0aedd
71	ctx-rh-precuneus_5	#0bfb98
72	ctx-rh-cuneus_1	#84e3d5
73	ctx-rh-cuneus_2	#6cdd1c
74	ctx-rh-pericalcarine	#e712f1
76	ctx-rh-lateraloccipital_1	#57a49a
77	ctx-rh-lateraloccipital_2	#7d256b
78	ctx-rh-lateraloccipital_3	#29e4a8
79	ctx-rh-lateraloccipital_4	#abf823
80	ctx-rh-lateraloccipital_5	#0c9357
81	ctx-rh-lingual_1	#1c1aa4
82	ctx-rh-lingual_2	#c2d764
83	ctx-rh-lingual_3	#79b3d7
84	ctx-rh-fusiform_1	#ad29a7
85	ctx-rh-fusiform_2	#e83c40
86	ctx-rh-fusiform_3	#4c6205
87	ctx-rh-fusiform_4	#a2507b
88	ctx-rh-parahippocampal_1	#0fd262
89	ctx-rh-entorhinal_1	#0857eb
90	ctx-rh-temporalpole_1	#93485f
91	ctx-rh-inferiortemporal_12	#c6ca8d
93	ctx-rh-inferiortemporal_3	#ec74f8
94	ctx-rh-inferiortemporal_4	#b522f3
95	ctx-rh-middletemporal_1	#74a0cd
96	ctx-rh-middletemporal_2	#7fb439
97	ctx-rh-middletemporal_3	#aad851
98	ctx-rh-middletemporal_4	#81806f
99	ctx-rh-bankssts_1	#391a1c
100	ctx-rh-superiortemporal_1	#8a122a
101	ctx-rh-superiortemporal_2	#b30eb4
102	ctx-rh-superiortemporal_3	#4611c8
103	ctx-rh-superiortemporal_4	#b7a733
104	ctx-rh-superiortemporal_5	#b68f07
105	ctx-rh-transversetemporal_1	#9c1bac
106	ctx-rh-insula_1	#c6d9b2
107	ctx-rh-insula_2	#d809cf
108	ctx-rh-insula_3	#abbbab
109	subc-rh-caudate	#cd1140
110	subc-rh-putamen	#4db886
111	subc-rh-pallidum_accumbens	#ff124e
113	thal-rh-pulvinar	#f11561
114	thal-rh-ventral-anterior	#75be69
115	thal-rh-mediodorsal	#13f2a7
116	thal-rh-lateral-posterior-ventral-posterior-group	#7ba9ad
117	thal-rh-pulvinar-medial-centrolateral-group	#dcb028
118	thal-rh-ventrolateral	#3cdc30
119	thal-rh-ventral-posterior-ventrolateral-group	#6a0964
120	amygd-rh	#2ea575
129	hipp-rh	#d5dcae
133	hypo-rh-anterior-inferior	#05ba63
134	hypo-rh-anterior-superior	#b8e635
135	hypo-rh-posterior	#dcf074
136	hypo-rh-tubular-inferior	#108f71
137	hypo-rh-tubular-superior	#8f2d07
139	ctx-lh-lateralorbitofrontal_1	#e60ae3
140	ctx-lh-lateralorbitofrontal_2	#b0cce7
