index	name	color
1	ctx-rh-lateralorbitofrontal_1	#e69128
2	ctx-rh-lateralorbitofrontal_2	#af114b
3	ctx-rh-parsorbitalis_1	#33f094
4	ctx-rh-frontalpole_1	#a0e98e
5	ctx-rh-medialorbitofrontal_1	#6015cd
6	ctx-rh-medialorbitofrontal_2	#78d9e9
7	ctx-rh-parstriangularis_1	#32d35e
8	ctx-rh-parsopercularis_1	#d41b56
9	ctx-rh-rostralmiddlefrontal_1	#d1186e
10	ctx-rh-rostralmiddlefrontal_2	#47982c
11	ctx-rh-superiorfrontal_1	#7c7417
12	ctx-rh-superiorfrontal_2	#e9a040
13	ctx-rh-superiorfrontal_3	#50e1da
14	ctx-rh-superiorfrontal_4	#69a72f
15	ctx-rh-caudalmiddlefrontal_1	#48d755
16	ctx-rh-precentral_1	#ce78a9
17	ctx-rh-precentral_2	#8f78fb
18	ctx-rh-precentral_3	#e814cb
19	ctx-rh-paracentral_1	#587aa4
20	ctx-rh-rostralanteriorcingulate_1	#c300eb
21	ctx-rh-caudalanteriorcingulate_1	#f9808f
22	ctx-rh-posteriorcingulate_1	#aafbd2
23	ctx-rh-isthmuscingulate_1	#ead924
24	ctx-rh-postcentral_1	#4a296a
25	ctx-rh-postcentral_2	#2753ad
26	ctx-rh-supramarginal_1	#6b1d1f
27	ctx-rh-supramarginal_2	#eb22a2
28	ctx-rh-superiorparietal_1	#abc4dd
29	ctx-rh-superiorparietal_2	#7787b9
30	ctx-rh-superiorparietal_3	#bf09a2
31	ctx-rh-inferiorparietal_1	#821ddd
32	ctx-rh-inferiorparietal_2	#d395c0
33	ctx-rh-inferiorparietal_3	#377068
34	ctx-rh-precuneus_1	#5cd59f
35	ctx-rh-precuneus_2	#95c60d
36	ctx-rh-cuneus_1	#eba1c8
37	ctx-rh-pericalcarine_1	#e23c04
38	ctx-rh-lateraloccipital_1	#7facc9
39	ctx-rh-lateraloccipital_2	#cf2b2f
40	ctx-rh-lateraloccipital_3	#60bb5f
41	ctx-rh-lingual_1	#435fe4
42	ctx-rh-lingual_2	#11be08
43	ctx-rh-fusiform_1	#b6e8a8
44	ctx-rh-fusiform_2	#e5de0b
45	ctx-rh-parahippocampal_1	#3fd046
46	ctx-rh-entorhinal_1	#31f4e0
47	ctx-rh-temporalpole_1	#ce7f5f
48	ctx-rh-inferiortemporal_1	#6ce2df
49	ctx-rh-inferiortemporal_2	#4c1436
50	ctx-rh-middletemporal_1	#33338a
51	ctx-rh-middletemporal_2	#18fb73
52	ctx-rh-bankssts_1	#c0602b
53	ctx-rh-superiortemporal_1	#7e3526
54	ctx-rh-superiortemporal_2	#e769bd
55	ctx-rh-transversetemporal_1	#fe88f6
56	ctx-rh-insula_1	#d7fdb9
57	ctx-rh-insula_2	#1b0851
58	subc-rh-caudate	#7abadc
59	subc-rh-putamen	#ec0db0
60	subc-rh-pallidum	#0d30ff
61	subc-rh-accumbens-area	#ffa500
62	thal-rh-pulvinar	#ff0000
63	thal-rh-ventral-anterior	#00ff00
64	thal-rh-mediodorsal	#ffff00
65	thal-rh-lateral-posterior-ventral-posterior-group	#ff7b00
66	thal-rh-pulvinar-medial-centrolateral-group	#00ffff
67	thal-rh-ventrolateral	#ff00ff
68	thal-rh-ventral-posterior-ventrolateral-group	#0000ff
69	amygd-rh-lateral-nucleus	#4884b5
70	amygd-rh-basal-nucleus	#cf3f4f
71	amygd-rh-central-nucleus	#c53cf8
72	amygd-rh-medial-nucleus	#029502
73	amygd-rh-cortical-nucleus	#ddf9a6
74	amygd-rh-accessory-basal-nucleus	#e89223
75	amygd-rh-corticoamygdaloid-transitio	#143c78
76	amygd-rh-anterior-amygdaloid-area-aaa	#fafa00
77	amygd-rh-paralaminar-nucleus	#2dcda5
78	hipp-rh-hippocampus-head	#ff0000
79	hipp-rh-hippocampus-body	#00ff00
80	hipp-rh-hippocampus-tail	#ffff00
81	hipp-rh-hippocampus-fissure	#ff7b00
82	hypo-rh-anterior-inferior	#faff32
83	hypo-rh-anterior-superior	#50c8ff
84	hypo-rh-posterior	#ffa000
85	hypo-rh-tubular-inferior	#ffa0c8
86	hypo-rh-tubular-superior	#14b482
87	cer-rh-cerebellum	#e69422
88	ctx-lh-lateralorbitofrontal_1	#e69128
89	ctx-lh-lateralorbitofrontal_2	#af114b
90	ctx-lh-parsorbitalis_1	#33f094
91	ctx-lh-frontalpole_1	#a0e98e
92	ctx-lh-medialorbitofrontal_1	#6015cd
93	ctx-lh-medialorbitofrontal_2	#78d9e9
94	ctx-lh-parstriangularis_1	#32d35e
95	ctx-lh-parsopercularis_1	#d41b56
96	ctx-lh-rostralmiddlefrontal_1	#d1186e
97	ctx-lh-rostralmiddlefrontal_2	#47982c
98	ctx-lh-superiorfrontal_1	#7c7417
99	ctx-lh-superiorfrontal_2	#e9a040
100	ctx-lh-superiorfrontal_3	#50e1da
101	ctx-lh-superiorfrontal_4	#69a72f
102	ctx-lh-caudalmiddlefrontal_1	#48d755
103	ctx-lh-precentral_1	#ce78a9
104	ctx-lh-precentral_2	#8f78fb
105	ctx-lh-precentral_3	#e814cb
106	ctx-lh-paracentral_1	#587aa4
107	ctx-lh-rostralanteriorcingulate_1	#c300eb
108	ctx-lh-caudalanteriorcingulate_1	#f9808f
109	ctx-lh-posteriorcingulate_1	#aafbd2
110	ctx-lh-isthmuscingulate_1	#ead924
111	ctx-lh-postcentral_1	#4a296a
112	ctx-lh-postcentral_2	#2753ad
113	ctx-lh-supramarginal_1	#6b1d1f
114	ctx-lh-supramarginal_2	#eb22a2
115	ctx-lh-superiorparietal_1	#abc4dd
116	ctx-lh-superiorparietal_2	#7787b9
117	ctx-lh-superiorparietal_3	#bf09a2
118	ctx-lh-inferiorparietal_1	#821ddd
119	ctx-lh-inferiorparietal_2	#d395c0
120	ctx-lh-inferiorparietal_3	#377068
121	ctx-lh-precuneus_1	#5cd59f
122	ctx-lh-precuneus_2	#95c60d
123	ctx-lh-cuneus_1	#eba1c8
124	ctx-lh-pericalcarine_1	#e23c04
