index	name	color
1	ctx-rh-lateralorbitofrontal_1	#db81d0
2	ctx-rh-lateralorbitofrontal_2	#2a625d
3	ctx-rh-lateralorbitofrontal_3	#7951fe
4	ctx-rh-lateralorbitofrontal_4	#8f403d
5	ctx-rh-parsorbitalis_1	#4df06e
6	ctx-rh-frontalpole_1	#c62205
7	ctx-rh-medialorbitofrontal_1	#ffc490
8	ctx-rh-medialorbitofrontal_2	#f05f20
9	ctx-rh-medialorbitofrontal_3	#7b2602
10	ctx-rh-parstriangularis_1	#ff194a
11	ctx-rh-parstriangularis_2	#80fb18
12	ctx-rh-parsopercularis_1	#88efa1
13	ctx-rh-parsopercularis_2	#dcc3e2
14	ctx-rh-rostralmiddlefrontal_1	#1afc5b
15	ctx-rh-rostralmiddlefrontal_2	#7b361d
16	ctx-rh-rostralmiddlefrontal_3	#0f1760
17	ctx-rh-rostralmiddlefrontal_4	#eee29e
18	ctx-rh-rostralmiddlefrontal_5	#d18f40
19	ctx-rh-rostralmiddlefrontal_6	#8ec024
20	ctx-rh-superiorfrontal_1	#3c8d82
21	ctx-rh-superiorfrontal_2	#456662
22	ctx-rh-superiorfrontal_3	#7439b0
23	ctx-rh-superiorfrontal_4	#12bac6
24	ctx-rh-superiorfrontal_5	#afe393
25	ctx-rh-superiorfrontal_6	#ca54dc
26	ctx-rh-superiorfrontal_7	#f294d8
27	ctx-rh-superiorfrontal_8	#8bf0fa
28	ctx-rh-caudalmiddlefrontal_12	#7479ba
30	ctx-rh-caudalmiddlefrontal_3	#81e8ae
31	ctx-rh-precentral_1	#f19ea9
32	ctx-rh-precentral_2	#d644bb
33	ctx-rh-precentral_3	#f26674
34	ctx-rh-precentral_4	#f2a442
35	ctx-rh-precentral_5	#2a1e84
36	ctx-rh-precentral_6	#99cadc
37	ctx-rh-paracentral_1	#4b82d0
38	ctx-rh-paracentral_2	#c9bc1b
39	ctx-rh-paracentral_3	#85d79f
40	ctx-rh-rostralanteriorcingulate_1	#7b8413
41	ctx-rh-caudalanteriorcingulate_1	#7159ab
42	ctx-rh-posteriorcingulate_1	#faef0c
43	ctx-rh-posteriorcingulate_2	#1bcc2d
44	ctx-rh-isthmuscingulate_1	#ff2a15
45	ctx-rh-postcentral_1	#aadc13
46	ctx-rh-postcentral_2	#278e16
47	ctx-rh-postcentral_3	#8ca929
48	ctx-rh-postcentral_4	#d74b52
49	ctx-rh-postcentral_5	#e53320
50	ctx-rh-supramarginal_1	#2c26a5
51	ctx-rh-supramarginal_2	#910a61
52	ctx-rh-supramarginal_3	#70a288
53	ctx-rh-supramarginal_4	#4ded61
54	ctx-rh-superiorparietal_1	#274bb6
55	ctx-rh-superiorparietal_2	#f5e714
56	ctx-rh-superiorparietal_3	#5e7d67
57	ctx-rh-superiorparietal_4	#5966e2
58	ctx-rh-superiorparietal_5	#089326
59	ctx-rh-superiorparietal_6	#4aa7a3
60	ctx-rh-superiorparietal_7	#d6dc13
61	ctx-rh-inferiorparietal_1	#920d28
62	ctx-rh-inferiorparietal_2	#8075a5
63	ctx-rh-inferiorparietal_3	#4651a6
64	ctx-rh-inferiorparietal_4	#51b2b8
65	ctx-rh-inferiorparietal_5	#9c5e81
66	ctx-rh-inferiorparietal_6	#bb6f19
67	ctx-rh-precuneus_1	#3d92b3
68	ctx-rh-precuneus_2	#61b4de
69	ctx-rh-precuneus_3	#f22d95
70	ctx-rh-precuneus_4	#05d8c2
71	ctx-rh-precuneus_5	#0a34f6
72	ctx-rh-cuneus_1	#7fa845
73	ctx-rh-cuneus_2	#a4bc7f
74	ctx-rh-pericalcarine	#76aea5
76	ctx-rh-lateraloccipital_1	#d1d18b
77	ctx-rh-lateraloccipital_2	#4ca855
78	ctx-rh-lateraloccipital_3	#cf41cd
79	ctx-rh-lateraloccipital_4	#3576cf
80	ctx-rh-lateraloccipital_5	#0d20b1
81	ctx-rh-lingual_1	#cc2a74
82	ctx-rh-lingual_2	#9f1e11
83	ctx-rh-lingual_3	#53d839
84	ctx-rh-fusiform_1	#1c8808
85	ctx-rh-fusiform_2	#151896
86	ctx-rh-fusiform_3	#019785
87	ctx-rh-fusiform_4	#a81a90
88	ctx-rh-parahippocampal_1	#a34162
89	ctx-rh-entorhinal_1	#c7945e
90	ctx-rh-temporalpole_1	#3be9ad
91	ctx-rh-inferiortemporal_12	#d0ffb4
93	ctx-rh-inferiortemporal_3	#4f1d9d
94	ctx-rh-inferiortemporal_4	#53c001
95	ctx-rh-middletemporal_1	#7dd14a
96	ctx-rh-middletemporal_2	#21d73e
97	ctx-rh-middletemporal_3	#70a623
98	ctx-rh-middletemporal_4	#68a8c4
99	ctx-rh-bankssts_1	#a57ab1
100	ctx-rh-superiortemporal_1	#cea78c
